PlotId,HexIds,PlotType,Start,End
10,"[10]",4,0,-1
11,"[11]",4,0,-1
17,"[17]",4,0,-1
19,"[19]",2,0,-1
20,"[20]",2,0,-1
21,"[21]",2,0,-1
22,"[22]",2,0,-1
23,"[23]",2,0,-1
24,"[24]",2,0,-1
25,"[25]",7,0,-1
26,"[26]",2,0,-1
27,"[27]",2,0,-1
28,"[28]",2,0,-1
29,"[29]",2,0,-1
30,"[30]",2,0,-1
31,"[31]",2,0,-1
32,"[32]",7,0,-1
33,"[33]",2,0,-1
34,"[34]",2,0,-1
35,"[35]",2,0,-1
36,"[36]",2,0,-1
37,"[37]",2,0,-1
38,"[38]",2,0,-1
39,"[39]",2,0,-1
40,"[40]",2,0,-1
41,"[41]",2,0,-1
42,"[42]",2,0,-1
43,"[43]",2,0,-1
44,"[44]",2,0,-1
45,"[45]",2,0,-1
46,"[46]",2,338400,-1
47,"[47]",2,0,-1
48,"[48]",2,0,-1
49,"[49]",2,0,-1
50,"[50]",2,0,-1
51,"[51]",2,0,-1
52,"[52]",2,0,-1
53,"[53]",2,338400,-1
54,"[54]",2,0,-1
55,"[55]",2,0,-1
56,"[56]",2,0,-1
57,"[57]",2,0,-1
58,"[58]",2,0,-1
59,"[59]",2,0,-1
60,"[60]",2,0,-1
61,"[61]",2,0,-1
62,"[62]",2,0,-1
63,"[63]",2,0,-1
64,"[64]",2,0,-1
65,"[65]",2,0,-1
66,"[66]",2,0,-1
67,"[67]",2,0,-1
68,"[68]",2,0,-1
69,"[69]",2,0,-1
70,"[70]",2,0,-1
71,"[71]",7,0,-1
72,"[72]",2,0,-1
73,"[73]",2,0,-1
74,"[74]",2,0,-1
75,"[75]",2,0,-1
76,"[76]",2,0,-1
77,"[77]",2,0,-1
78,"[78]",2,0,-1
79,"[79]",2,0,-1
80,"[80]",7,0,-1
81,"[81]",2,0,-1
82,"[82]",2,0,-1
83,"[83]",2,0,-1
84,"[84]",2,0,-1
85,"[85]",2,0,-1
86,"[86]",2,0,-1
87,"[87]",2,0,-1
88,"[88]",2,0,-1
89,"[89]",2,0,-1
90,"[90]",2,0,-1
91,"[91]",2,0,-1
92,"[92]",2,0,-1
93,"[93]",2,0,-1
95,"[95]",2,0,-1
96,"[96]",2,0,-1
97,"[97]",2,0,-1
98,"[98]",2,0,-1
99,"[99]",2,0,-1
100,"[100]",2,0,-1
101,"[101]",2,0,-1
104,"[104]",2,0,-1
105,"[105]",2,0,-1
106,"[106]",2,0,-1
107,"[107]",2,0,-1
108,"[108]",2,0,-1
109,"[109]",2,0,-1
110,"[110]",2,0,-1
111,"[111]",2,0,-1
112,"[112]",2,0,-1
113,"[113]",2,0,-1
116,"[116]",2,0,-1
117,"[117]",2,0,-1
118,"[118]",2,0,-1
119,"[119]",2,0,-1
120,"[120]",2,0,-1
121,"[121]",2,0,-1
122,"[122]",2,0,-1
124,"[124]",2,0,-1
125,"[125]",2,0,-1
126,"[126]",2,0,-1
127,"[127]",2,0,-1
128,"[128]",2,0,-1
129,"[129]",2,0,-1
132,"[132]",2,0,-1
133,"[133]",2,0,-1
134,"[134]",2,0,-1
135,"[135]",2,0,-1
136,"[136]",2,0,-1
137,"[137]",2,0,-1
138,"[138]",2,0,-1
143,"[143]",2,0,-1
144,"[144]",2,0,-1
145,"[145]",2,0,-1
146,"[146]",2,0,-1
147,"[147]",2,0,-1
148,"[148]",2,0,-1
149,"[149]",2,0,-1
150,"[150]",2,0,-1
151,"[151]",2,0,-1
152,"[152]",2,0,-1
157,"[157]",2,0,-1
158,"[158]",2,0,-1
159,"[159]",2,0,-1
160,"[160]",2,0,-1
161,"[161]",2,0,-1
162,"[162]",2,0,-1
163,"[163]",2,0,-1
166,"[166]",2,0,-1
167,"[167]",2,0,-1
168,"[168]",2,0,-1
169,"[169]",4,0,-1
170,"[170]",2,0,-1
171,"[171]",2,0,-1
172,"[172]",2,0,-1
173,"[173]",2,0,-1
174,"[174]",2,0,-1
175,"[175]",2,0,-1
176,"[176]",2,0,-1
177,"[177]",4,0,-1
178,"[178]",2,0,-1
179,"[179]",2,0,-1
180,"[180]",2,0,-1
181,"[181]",2,0,-1
182,"[182]",2,0,-1
183,"[183]",2,0,-1
185,"[185]",2,0,-1
186,"[186]",2,0,-1
187,"[187]",2,0,-1
188,"[188]",2,0,-1
189,"[189]",2,0,-1
190,"[190]",2,0,-1
191,"[191]",2,0,-1
192,"[192]",4,0,-1
193,"[193]",4,0,-1
194,"[194]",2,0,-1
195,"[195]",2,0,-1
196,"[196]",2,0,-1
197,"[197]",2,0,-1
198,"[198]",2,0,-1
199,"[199]",2,0,-1
200,"[200]",2,0,-1
202,"[202]",2,0,-1
203,"[203]",2,0,-1
204,"[204]",2,0,-1
205,"[205]",2,0,-1
206,"[206]",2,0,-1
207,"[207]",2,0,-1
208,"[208]",4,0,-1
209,"[209]",2,0,-1
210,"[210]",2,0,-1
211,"[211]",2,0,-1
212,"[212]",2,0,-1
213,"[213]",2,0,-1
214,"[214]",2,0,-1
215,"[215]",2,0,-1
216,"[216]",4,0,-1
217,"[217]",2,0,-1
218,"[218]",2,0,-1
219,"[219]",2,0,-1
220,"[220]",4,0,-1
221,"[221]",2,0,-1
222,"[222]",2,0,-1
223,"[223]",4,0,-1
224,"[224]",2,0,-1
225,"[225]",2,0,-1
226,"[226]",2,0,-1
227,"[227]",2,0,-1
228,"[228]",2,0,-1
229,"[229]",2,0,-1
230,"[230]",2,0,-1
231,"[231]",4,0,-1
232,"[232]",4,0,-1
233,"[233]",7,0,-1
234,"[234]",2,0,-1
235,"[235]",2,0,-1
236,"[236]",2,0,-1
237,"[237]",4,0,-1
238,"[238]",4,0,-1
239,"[239]",2,0,-1
240,"[240]",2,0,-1
241,"[241]",2,0,-1
242,"[242]",2,0,-1
243,"[243]",2,0,-1
244,"[244]",2,0,-1
245,"[245]",2,0,-1
246,"[246]",2,0,-1
247,"[247]",2,0,-1
248,"[248]",2,0,-1
249,"[249]",4,0,-1
250,"[250]",4,0,-1
251,"[251]",2,0,-1
252,"[252]",2,0,-1
253,"[253]",2,0,-1
254,"[254]",7,0,-1
255,"[255]",4,0,-1
256,"[256]",4,0,-1
257,"[257]",2,0,-1
258,"[258]",2,0,-1
259,"[259]",2,0,-1
260,"[260]",2,0,-1
261,"[261]",2,0,-1
262,"[262]",2,0,-1
263,"[263]",2,0,-1
264,"[264]",4,0,-1
265,"[265]",2,0,-1
266,"[266]",2,0,-1
267,"[267]",4,0,-1
268,"[268]",2,0,-1
269,"[269]",2,0,-1
270,"[270]",2,0,-1
272,"[272]",2,0,-1
273,"[273]",2,0,-1
274,"[274]",2,0,-1
275,"[275]",2,0,-1
276,"[276]",2,0,-1
277,"[277]",2,0,-1
278,"[278]",2,0,-1
279,"[279]",2,0,-1
280,"[280]",2,0,-1
282,"[282]",2,0,-1
283,"[283]",2,0,-1
284,"[284]",2,0,-1
285,"[285]",2,0,-1
286,"[286]",2,0,-1
287,"[287]",2,0,-1
288,"[288]",2,338400,-1
289,"[289]",2,0,-1
290,"[290]",2,0,-1
291,"[291]",2,0,-1
292,"[292]",2,0,-1
293,"[293]",2,0,-1
294,"[294]",2,0,-1
295,"[295]",2,0,-1
296,"[296]",2,0,-1
297,"[297]",2,0,-1
298,"[298]",2,0,-1
299,"[299]",2,0,-1
302,"[302]",2,0,-1
303,"[303]",2,0,-1
304,"[304]",2,0,-1
305,"[305]",2,0,-1
306,"[306]",2,0,-1
307,"[307]",2,0,-1
308,"[308]",2,0,-1
309,"[309]",2,0,-1
310,"[310]",2,0,-1
311,"[311]",2,338400,-1
312,"[312]",2,0,-1
313,"[313]",2,0,-1
314,"[314]",2,0,-1
315,"[315]",2,0,-1
316,"[316]",2,0,-1
317,"[317]",2,0,-1
318,"[318]",2,0,-1
319,"[319]",2,0,-1
321,"[321]",2,0,-1
322,"[322]",2,0,-1
323,"[323]",2,0,-1
324,"[324]",2,0,-1
325,"[325]",2,0,-1
326,"[326]",2,0,-1
327,"[327]",2,0,-1
328,"[328]",2,0,-1
329,"[329]",2,0,-1
333,"[333]",2,0,-1
334,"[334]",2,0,-1
335,"[335]",2,0,-1
336,"[336]",2,0,-1
337,"[337]",2,0,-1
338,"[338]",2,0,-1
339,"[339]",2,0,-1
340,"[340]",2,0,-1
345,"[345]",2,0,-1
346,"[346]",2,0,-1
347,"[347]",2,0,-1
348,"[348]",2,0,-1
349,"[349]",2,0,-1
350,"[350]",2,0,-1
351,"[351]",7,0,-1
352,"[352]",2,0,-1
353,"[353]",2,0,-1
354,"[354]",2,0,-1
355,"[355]",2,0,-1
356,"[356]",2,0,-1
357,"[357]",2,0,-1
358,"[358]",2,0,-1
359,"[359]",2,0,-1
360,"[360]",2,0,-1
367,"[367]",2,0,-1
368,"[368]",2,0,-1
369,"[369]",2,0,-1
370,"[370]",2,0,-1
371,"[371]",2,0,-1
372,"[372]",2,0,-1
373,"[373]",2,0,-1
374,"[374]",7,0,-1
375,"[375]",2,0,-1
376,"[376]",2,0,-1
377,"[377]",2,0,-1
378,"[378]",2,0,-1
379,"[379]",2,0,-1
380,"[380]",2,0,-1
381,"[381]",2,0,-1
382,"[382]",2,0,-1
387,"[387]",2,0,-1
388,"[388]",2,0,-1
389,"[389]",2,0,-1
390,"[390]",2,0,-1
391,"[391]",2,0,-1
392,"[392]",2,0,-1
393,"[393]",2,0,-1
394,"[394]",2,0,-1
11000,"[271,331,332,343]",1,0,-1
11001,"[281,341,342,344]",1,0,-1
11002,"[301,362,364,366]",1,0,-1
11003,"[330,384,395,396]",1,0,-1
11004,"[320,383,385,386]",1,0,-1
11005,"[300,361,363,365]",1,0,-1
15000,"[102,139,141,184]",5,0,-1
15001,"[115,154,156,201]",5,0,-1
15002,"[94,130,131]",5,0,-1
15003,"[103,140,142]",5,0,-1
15004,"[114,153,155]",5,0,-1
15005,"[123,164,165]",5,0,-1
16000,"[0,1,2,3,4,5,6]",6,0,-1
17000,"[7,8,9]",7,0,-1
17001,"[12,14,16]",7,0,-1
17002,"[13,15,18]",7,0,-1
